2023     Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2023","Job Outlook, 2023-33","Employment Change, 2023-33",similar_occupations,Occupation
"$64,340     per year$30.94     per hour",Bachelor's degree,Less than 5 years,None,"420,100",12% (Much faster than average),"48,500","Career and Technical Education Teachers,Compensation and Benefits Managers,Compensation, Benefits, and Job Analysis Specialists,Human Resources Managers,Human Resources Specialists,Instructional Coordinators,Labor Relations Specialists,Project Management Specialists,School and Career Counselors and Advisors,Training and Development Managers",Training and development specialists
"$74,680     per year$35.90     per hour",Bachelor's degree,None,None,"903,400",8% (Faster than average),"74,900","Advertising, Promotions, and Marketing Managers,Cost Estimators,Data Scientists,Economists,Management Analysts,Mathematicians and Statisticians,Operations Research Analysts,Public Relations Specialists,Survey Researchers",Market research analysts and marketing specialists
"$79,880     per year$38.41     per hour",Bachelor's degree,None,None,"1,562,000",6% (Faster than average),"91,400","Bookkeeping, Accounting, and Auditing Clerks,Budget Analysts,Cost Estimators,Financial Analysts,Financial Managers,Management Analysts,Personal Financial Advisors,Postsecondary Teachers,Tax Examiners and Collectors, and Revenue Agents,Top Executives",Accountants and auditors
"$61,630     per year$29.63     per hour",Bachelor's degree,None,Long-term on-the-job training,"83,900",4% (As fast as average),"3,200","Claims Adjusters, Appraisers, Examiners, and Investigators,Construction and Building Inspectors,Real Estate Brokers and Sales Agents",Property appraisers and assessors
"$84,940     per year$40.84     per hour",Bachelor's degree,None,None,"50,800",4% (As fast as average),"2,000","Accountants and Auditors,Cost Estimators,Economists,Financial Analysts,Financial Managers,Management Analysts,Tax Examiners and Collectors, and Revenue Agents,Actuaries,Financial Examiners,Insurance Underwriters",Budget analysts
"$99,890     per year$48.02     per hour",Bachelor's degree,None,None,"404,800",9% (Much faster than average),"37,900","Budget Analysts,Data Scientists,Financial Managers,Insurance Underwriters,Personal Financial Advisors,Securities, Commodities, and Financial Services Sales Agents",Financial and investment analysts
"$99,580     per year$47.88     per hour",Bachelor's degree,None,Long-term on-the-job training,"321,000",17% (Much faster than average),"55,000","Budget Analysts,Financial Analysts,Financial Managers,Insurance Sales Agents,Insurance Underwriters,Real Estate Brokers and Sales Agents,Securities, Commodities, and Financial Services Sales Agents",Personal financial advisors
"$77,860     per year$37.44     per hour",Bachelor's degree,None,Moderate-term on-the-job training,"118,400",-4% (Decline),"-4,700","Actuaries,Budget Analysts,Claims Adjusters, Appraisers, Examiners, and Investigators,Cost Estimators,Insurance Sales Agents,Loan Officers",Insurance underwriters
"$99,890     per year$48.02     per hour",Bachelor's degree,None,None,"404,800",9% (Much faster than average),"37,900","Budget Analysts,Data Scientists,Financial Managers,Insurance Underwriters,Personal Financial Advisors,Securities, Commodities, and Financial Services Sales Agents",Financial risk specialists
"$84,300     per year$40.53     per hour",Bachelor's degree,None,Long-term on-the-job training,"65,500",21% (Much faster than average),"13,800","Accountants and Auditors,Budget Analysts,Financial Analysts,Loan Officers,Tax Examiners and Collectors, and Revenue Agents,Management Analysts,Personal Financial Advisors,Private Detectives and Investigators",Financial examiners
"$48,570     per year$23.35     per hour",Bachelor's degree,None,Moderate-term on-the-job training,"31,800",5% (As fast as average),"1,500","Budget Analysts,Financial Analysts,Financial Examiners,Financial Managers,Loan Officers,Personal Financial Advisors,Tax Examiners and Collectors, and Revenue Agents",Credit counselors
"$69,990     per year$33.65     per hour",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,"334,100",1% (Slower than average),"4,500","Financial Analysts,Financial Examiners,Personal Financial Advisors,Tax Examiners and Collectors, and Revenue Agents,Insurance Sales Agents,Securities, Commodities, and Financial Services Sales Agents,Real Estate Brokers and Sales Agents,Financial Managers,Tellers",Loan officers
"$58,530     per year$28.14     per hour",Bachelor's degree,None,Moderate-term on-the-job training,"54,000",2% (Slower than average),"1,000","Accountants and Auditors,Budget Analysts,Cost Estimators,Financial Analysts,Financial Managers,Loan Officers,Personal Financial Advisors,Bookkeeping, Accounting, and Auditing Clerks,Financial Examiners,Human Resources Specialists","Tax examiners and collectors, and revenue agents"
