education,experience,license,advancement,qualities,Occupation
"Training and development specialists typically need a bachelor’s degree, often in abusinessfield such as organizational development or human resources. Otherfields of degreeincludeeducation,social science,psychology, andcommunications.
","Related work experience is important for most training and development specialists. Positions may require work experience in areas such as staff development or instructional design or in related occupations, such ashuman resources specialistsorteachers.
","Although not usually required, certification shows professional expertise and credibility. However, some employers prefer to hire certified candidates, and some positions require certification. TheAssociation for Talent Development(ATD) andInternational Society for Performance Improvement(ISPI) are among the organizations that offer certification programs in training and development.
","Training and development specialists may advance totraining and development managerorhuman resources managerpositions. Workers typically need several years of experience to advance.
","Analytical skills.Training and development specialists must evaluate training programs, methods, and materials and choose those that best fit each situation.
",Training and development specialists
"Market research analysts typically need a bachelor'sdegreein market research or a relatedbusiness,communications, orsocial sciencefield.
","Completing an internship while in school may be helpful. Prospective analysts also may gain experience by volunteering for an organization and helping with market research or related projects.
","Analysts may pursue certification, which is voluntary, to demonstrate a level of professional competency. TheInsights Associationoffers several certifications for market research analysts, including the IPC Principal and the IPC Masters. Candidates qualify based on industry experience and passing an exam.
",,"Analytical skills.Market research analysts must evaluate large amounts of data and information related to market conditions.
",Market research analysts and marketing specialists
"Accountants and auditors typically need a bachelor'sdegreein accounting or a related field, such asbusiness. Some employers prefer to hire applicants who have a master’s degree, either in accounting or in business administration with a concentration in accounting.
",,"Any accountant who files a report with the Securities and Exchange Commission (SEC) is required to be a licensed Certified Public Accountant (CPA). Other accountants choose to become a CPA to enhance their job prospects or to gain clients. Employers may pay the costs associated with the CPA exam.
","Sometop executivesandfinancial managershave a background in accounting, internal auditing, or finance.
","Analytical and critical-thinking skills.Accountants and auditors must be able to critically evaluate data, identify issues in documentation, and suggest solutions. For example, internal auditors might detect fraudulent use of funds, and public accountants may work to minimize tax liability.
",Accountants and auditors
"Although requirements vary, property appraisers and assessors typically need a bachelor’s degree. Commonfields of degreeincludebusiness,social science, andpsychology.
",,"Federal law requires appraisers of real estate to have a state license or certification when working on federally related transactions, such as appraisals for loans made by federally insured banks and financial institutions.The Appraisal Foundation(TAF) offers information on appraisal licensing. There is no such federal requirement for appraisers of personal and business property or for assessors, although some states require certification. For state-specific requirements, applicants should contact their state licensing board.
",,"Analytical skills.Property appraisers and assessors use many sources of data when estimating values. As a result, they must research and evaluate all factors before determining their estimate and producing a final report.
",Property appraisers and assessors
"Budget analysts typically need at least a bachelor's degree infieldssuch asbusiness,social science,psychology, ormathematics. Because developing a budget requires numeracy and analytical skills, coursework in accounting, economics, and statistics is helpful.
",,"Budget analysts working in federal, state or local government may earn the optionalCertified Government Financial Manager(CGFM) credential from theAssociation of Government Accountants(AGA). CGFM candidates must have at least a bachelor’s degree, abide by the AGA’s Code of Ethics, pass examinations, and complete a designated period of professional-level experience in governmental financial management. To maintain certification, CGFMs must complete continuing education.
",,"Analytical skills.Budget analysts must be able to process a variety of information, evaluate costs and benefits, and solve complex problems.
",Budget analysts
"Most entry-level positions for financial analysts require a bachelor’s degree; a commonfield of degreeisbusiness. Some employers prefer to hire job candidates who have a master’s degree.
",,"TheFinancial Industry Regulatory Authority(FINRA) is the main licensing organization for the securities industry. A license is generally required to sell financial products, which may apply to some positions. Because most of the licenses require sponsorship by an employer, companies do not expect individuals to have these licenses before starting a job.
","Financial analysts typically start by specializing in an investment field. As they gain experience, they may become portfolio managers and select the mix of investments for a company’s portfolio. They also may become fund managers of large investment portfolios for individual investors. Having a master’s degree in finance or business administration may improve an analyst’s chances of advancing to one of these positions.
","Analytical skills.Financial analysts must evaluate a range of information in finding profitable investments.
",Financial and investment analysts
"Personal financial advisors typically need a bachelor’s degree, although employers usually do not require a specific course of study. However, commonfields of degreeincludebusiness,social science, ormathematics. Courses in investments, taxes, estate planning, and risk management may be helpful.
",,"Personal financial advisors who directly buy or sell stocks, bonds, or insurance policies, or who provide specific investment advice, may need a combination of licenses that varies with the products they sell. In addition to being required to have those licenses, advisors in small firms that manage clients’ investments must be registered with state regulators, and those in large firms must be registered with theU.S. Securities and Exchange Commission(SEC). Personal financial advisors who choose to sell insurance need licenses issued by state boards. Information on state licensing board requirements for registered investment advisors is available from theNorth American Securities Administrators Association(NASAA).
","A master’s degree in a field such as finance or business administration may improve a personal financial advisor’s chances of becoming afinancial managerand of attracting new clients.
","Analytical skills.In determining an investment portfolio for a client, personal financial advisors must be able to assess a range of information, including economic trends, regulatory changes, and the client’s comfort with risky decisions.
",Personal financial advisors
"Employers usually prefer to hire candidates who have a bachelor’s degree. A commonfield of degreeisbusiness. Coursework in finance, economics, and mathematics is helpful.
",,"Employers may expect underwriters to become certified through coursework. These courses are important for keeping current with new insurance policies and changes in state and federal regulations.
","Experienced underwriters may advance to become senior underwriters or underwriter managers. Underwriters may need certification to progress into these positions.
","Analytical skills.Underwriters must evaluate information from a variety of sources to balance risk against caution.
",Insurance underwriters
"Most entry-level positions for financial analysts require a bachelor’s degree; a commonfield of degreeisbusiness. Some employers prefer to hire job candidates who have a master’s degree.
",,"TheFinancial Industry Regulatory Authority(FINRA) is the main licensing organization for the securities industry. A license is generally required to sell financial products, which may apply to some positions. Because most of the licenses require sponsorship by an employer, companies do not expect individuals to have these licenses before starting a job.
","Financial analysts typically start by specializing in an investment field. As they gain experience, they may become portfolio managers and select the mix of investments for a company’s portfolio. They also may become fund managers of large investment portfolios for individual investors. Having a master’s degree in finance or business administration may improve an analyst’s chances of advancing to one of these positions.
","Analytical skills.Financial analysts must evaluate a range of information in finding profitable investments.
",Financial risk specialists
"Financial examiners typically need a bachelor’s degree to enter the occupation. Adegreeinbusinessor a related field is common. Coursework should include accounting, finance, or related subjects.
",,"Although it is not required, professional certification indicates competencies for financial examiners who have it. TheSociety of Financial Examiners(SOFE) offers theAccredited Financial Examiner(AFE) and theCertified Financial Examiner(CFE) designations. Both may be earned after completing extensive requirements and passing a series of examinations. Continuing education is required to maintain these designations.
","After a few years of experience, financial examiners may advance to a senior examiner position. Senior examiners handle more complex cases and may lead examination teams. Requirements for these positions vary, but employers often prefer candidates who have a master’s degree in either accounting or business administration or who are Certified Public Accountants (CPAs).
","Analytical skills.Financial examiners need to evaluate how well the managers of financial institutions are handling risk and whether the individual loans the institution makes are safe.
",Financial examiners
"Credit counselors typically need a bachelor’s degree, usually in afieldsuch asbusiness, finance, orpsychology. Candidates with a high school diploma may qualify for some positions, even if employers prefer to hire those who have a degree.
",,"Employers may prefer or require certification for credit counselors. Some certification is general, such as that offered by theNational Association of Certified Credit Counselors. Others are specific to an area of expertise, such as the U.S. Department of Housing and Urban Development’sHousing Counselor Certification.
",,"Analytical skills.Credit counselors must be able to assess income, expenses, and other financial information specific to each client.
",Credit counselors
"Loan officers typically need a bachelor’s degree, usually in afieldsuch asbusinessor finance. Because commercial loan officers analyze the finances of businesses applying for credit, they need to understand general business accounting, including how to read financial statements.
",,"Mortgage loan officers must have a Mortgage Loan Originator (MLO) license. To become licensed, they must complete prelicensing courses, pass a national exam, and submit to background and credit checks. Licenses must be renewed annually, and individual states may have additional requirements. Check yourstate licensing agencywebsite for more information.
",,"Decision-making skills.Loan officers must assess an applicant’s financial information and decide whether to approve the loan.
",Loan officers
