name,url
Training and development specialists,https://www.bls.gov/ooh/business-and-financial/training-and-development-specialists.htm
Market research analysts and marketing specialists,https://www.bls.gov/ooh/business-and-financial/market-research-analysts.htm
"Business operations specialists, all other",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#131199
Accountants and auditors,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm
Property appraisers and assessors,https://www.bls.gov/ooh/business-and-financial/appraisers-and-assessors-of-real-estate.htm
Budget analysts,https://www.bls.gov/ooh/business-and-financial/budget-analysts.htm
Credit analysts,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#132041
Financial and investment analysts,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm
Personal financial advisors,https://www.bls.gov/ooh/business-and-financial/personal-financial-advisors.htm
Insurance underwriters,https://www.bls.gov/ooh/business-and-financial/insurance-underwriters.htm
Financial risk specialists,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm
Financial examiners,https://www.bls.gov/ooh/business-and-financial/financial-examiners.htm
Credit counselors,https://www.bls.gov/ooh/business-and-financial/credit-counselors.htm
Loan officers,https://www.bls.gov/ooh/business-and-financial/loan-officers.htm
"Tax examiners and collectors, and revenue agents",https://www.bls.gov/ooh/business-and-financial/tax-examiners-and-collectors-and-revenue-agents.htm
Tax preparers,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#132082
"Financial specialists, all other",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#132099
Chief executives,https://www.bls.gov/ooh/management/top-executives.htm
General and operations managers,https://www.bls.gov/ooh/management/top-executives.htm
Legislators,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#111031
Advertising and promotions managers,https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm
Marketing managers,https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm
Sales managers,https://www.bls.gov/ooh/management/sales-managers.htm
Public relations managers,https://www.bls.gov/ooh/management/public-relations-managers.htm
Fundraising managers,https://www.bls.gov/ooh/management/public-relations-managers.htm
Administrative services managers,https://www.bls.gov/ooh/management/administrative-services-managers.htm
Facilities managers,https://www.bls.gov/ooh/management/administrative-services-managers.htm
Computer and information systems managers,https://www.bls.gov/ooh/management/computer-and-information-systems-managers.htm
Financial managers,https://www.bls.gov/ooh/management/financial-managers.htm
Industrial production managers,https://www.bls.gov/ooh/management/industrial-production-managers.htm
Purchasing managers,https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm
"Transportation, storage, and distribution managers",https://www.bls.gov/ooh/management/transportation-storage-and-distribution-managers.htm
Compensation and benefits managers,https://www.bls.gov/ooh/management/compensation-and-benefits-managers.htm
Human resources managers,https://www.bls.gov/ooh/management/human-resources-managers.htm
Training and development managers,https://www.bls.gov/ooh/management/training-and-development-managers.htm
"Farmers, ranchers, and other agricultural managers",https://www.bls.gov/ooh/management/farmers-ranchers-and-other-agricultural-managers.htm
Construction managers,https://www.bls.gov/ooh/management/construction-managers.htm
"Education and childcare administrators, preschool and daycare",https://www.bls.gov/ooh/management/preschool-and-childcare-center-directors.htm
"Education administrators, kindergarten through secondary",https://www.bls.gov/ooh/management/elementary-middle-and-high-school-principals.htm
"Education administrators, postsecondary",https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm
"Education administrators, all other",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#119039
Architectural and engineering managers,https://www.bls.gov/ooh/management/architectural-and-engineering-managers.htm
Food service managers,https://www.bls.gov/ooh/management/food-service-managers.htm
Gambling managers,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm
"Entertainment and recreation managers, except gambling",https://www.bls.gov/ooh/management/entertainment-and-recreation-managers.htm
Lodging managers,https://www.bls.gov/ooh/management/lodging-managers.htm
Medical and health services managers,https://www.bls.gov/ooh/management/medical-and-health-services-managers.htm
Natural sciences managers,https://www.bls.gov/ooh/management/natural-sciences-managers.htm
Postmasters and mail superintendents,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#119131
"Property, real estate, and community association managers",https://www.bls.gov/ooh/management/property-real-estate-and-community-association-managers.htm
Social and community service managers,https://www.bls.gov/ooh/management/social-and-community-service-managers.htm
Emergency management directors,https://www.bls.gov/ooh/management/emergency-management-directors.htm
Funeral home managers,https://www.bls.gov/ooh/personal-care-and-service/funeral-service-occupations.htm
"Personal service managers, all other",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#119179
"Managers, all other",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#119199
"Agents and business managers of artists, performers, and athletes",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#131011
Buyers and purchasing agents,https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm
"Claims adjusters, examiners, and investigators",https://www.bls.gov/ooh/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm
"Insurance appraisers, auto damage",https://www.bls.gov/ooh/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm
Compliance officers,https://www.bls.gov/ooh/business-and-financial/compliance-officers.htm
Cost estimators,https://www.bls.gov/ooh/business-and-financial/cost-estimators.htm
